Name,Specialty,Symptoms,Usual onset,Duration,Causes,Risk factors,Diagnostic method,Prevention,Treatment,Prognosis,Frequency,Medication,ImageURL
Breast cysts,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/02/Needle_biopsy.jpg
Broken ankle,Orthopedics,"Pain, swelling, bruising, inability to walk","Young males, older females",,"Rolling the ankle, blunt trauma",,X-rays based on the Ottawa ankle rule,,"Splinting, casting, surgery",,~1 per 1000/year,,https://upload.wikimedia.org/wikipedia/commons/b/bf/Ankle_en.svg
Broken collarbone,Emergency medicine,"Pain, decreased ability to move the affected arm",Sudden,,"Fall onto a shoulder, outstretched arm, or direct trauma",,"Based on symptoms, confirmed with X-rays",,"Pain medication, sling, surgery",Up to five months for complete healing,"5% of adult fractures, 13% of children's fractures",,https://upload.wikimedia.org/wikipedia/commons/f/f6/Clavicle.gif
Broken toe,Emergency medicine,"Pain, tenderness, bruising, swelling, displacement of the bones.",Sudden,,"Stubbing or crushing over-extending a toe joint, stress fracture",,"Visualisation, X-rays",,"For pain and swelling, rest, icing, elevation and pain medication; wearing a stiff-soled shoe; for smaller toes, buddy wrapping (taping the toe to the nearest toe, with some absorbent padding in-between); rarely, a cast or surgery",4 to 8 weeks for full healing; pain lessens within days,"Common, 8-9% of all fractures",Over-the-counter painkillers,https://upload.wikimedia.org/wikipedia/commons/3/35/612_Types_of_Fractures.jpg
Bronchiolitis,"Emergency medicine, pediatrics","Fever, cough, runny nose, wheezing, breathing problems",Less than 2 years old,,"Viral disease (respiratory syncytial virus, human rhinovirus)",,Based on symptoms,,"Symptomatic treatment (oxygen, support with feeding, intravenous fluids)",,~20% (children less than 2),,https://upload.wikimedia.org/wikipedia/commons/6/6d/Acute_bronchiolitis_%288519105494%29.jpg
Bronchitis,"Infectious disease, pulmonology","Coughing up mucus, wheezing, shortness of breath, chest discomfort",,,,,,,,,Acute: ~5% of people a yearChronic: ~5% of people,,https://upload.wikimedia.org/wikipedia/commons/9/99/Bronchitis.jpg
Brucellosis,Infectious disease,coughing,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/d0/B.melitensis_in_Europe.svg
Brugada syndrome,Cardiology,"Passing out, sudden cardiac death",Adulthood,,"Genetics, certain medication","Family history, Asian descent, male","Electrocardiogram (ECG), genetic testing",,"Watchful waiting, implantable cardioverter defibrillator (ICD)",,1 per 2000,,https://upload.wikimedia.org/wikipedia/commons/5/52/AICD.jpg
Bullous pemphigoid,Dermatology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/66/Legs_Bullous_Pemphigoid.jpg
Bundle branch block,Cardiology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/16/Bundle_branch_block.svg
Bunions,"Orthopedics, Podiatry","Prominent, red, and painful joint at the base of the big toe",Gradual,,Unclear,"Wearing overly tight shoes, high-heeled shoes, family history, rheumatoid arthritis","Based on symptoms, X-rays",,"Proper shoes, orthotics, NSAIDs, surgery",,~23% of adults,,https://upload.wikimedia.org/wikipedia/commons/a/a1/Bunion_%28cropped%29.png
Burns,,,,,,,,,,,,,
Bursitis,Orthopedics,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/3c/Matriz_Buritis.JPG
C. difficile infection,Infectious disease,"Diarrhea, fever, nausea, abdominal pain",,,Clostridioides difficile spread by the fecal-oral route,"Antibiotics, proton pump inhibitors, hospitalization, other health problems, older age","Stool culture, testing for the bacteria's DNA or toxins","Hand washing, terminal room cleaning in hospital","Metronidazole, vancomycin, fidaxomicin, fecal microbiota transplantation",,"453,000 (US 2011)",,https://upload.wikimedia.org/wikipedia/commons/6/67/Clostridium_difficile_EM.png
Calciphylaxis,Nephrology,,,,,,,,,"1- and 5-year survival rates are estimated to be 45% and 35%, respectively",,,https://upload.wikimedia.org/wikipedia/commons/5/5c/Calciphylaxis.png
Cancer,Oncology,"Lump, abnormal bleeding, prolonged cough, unexplained weight loss, change in bowel movements",,,,"Tobacco, obesity, poor diet, lack of physical activity, excessive alcohol, certain infections",,,"Radiation therapy, surgery, chemotherapy, and targeted therapy.",Average five year survival 66% (USA),90.5 million (2015),,https://upload.wikimedia.org/wikipedia/commons/e/eb/14_06_29_Recycle_Location_Sign_Dunedin_FL_01.jpg
"Cancer , anal",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/00/Diagram_showing_stage_1_anal_cancer_CRUK_189.svg
"Cancer , basal cell",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e2/BCC_with_squamous_cell_metaplasia_with_HE_and_BerEP4_staining.jpg
"Cancer , bladder",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/28/Bladder_Cancer_Treatment_Guide_v4.png
"Cancer , breast",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/9a/BreastScreen_Aotearoa.JPG
Carbon monoxide poisoning,"Toxicology, emergency medicine","Headache, dizziness, weakness, vomiting, chest pain, confusion",,,Breathing in carbon monoxide,,Carbonylhemoglobin level:3% (nonsmokers)10% (smokers),"Carbon monoxide detectors, venting of gas appliances, maintenance of exhaust systems","Supportive care, 100% oxygen, hyperbaric oxygen therapy",Risk of death 1â€“31%.,">20,000 emergency visits for non-fire related cases per year (US)",,https://upload.wikimedia.org/wikipedia/commons/c/c5/Breath_CO_Monitor.jpg
Carbuncles and boils,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/10/Furoncle.jpg
Carcinoid syndrome,"Endocrinology, oncology",,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/10/Carcinoid_cancer.jpg
Carcinoid tumors,Oncology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/10/Carcinoid_cancer.jpg
Carcinoma of unknown primary,Oncology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/02/Serous_carcinoma_cytology.jpg
Cardiogenic shock,Cardiology,"Fatigue, rapid heartbeat, shortness of breath, hypotension, sweating",,,"Heart attack, myocarditis, endocarditis, certain medications and substances","Heart failure, old age, hypertension",,,,"For patients where the cause is not due to a heart attack, the mortality rate is still relatively high, at about 60%; some progress has been made in treating CS when due to a heart attack, and the mortality rate is now somewhat lower for those with MI who survive and are treated rapidly with current therapies (February 2021)",,,https://upload.wikimedia.org/wikipedia/commons/5/59/UOTW_7_-_Ultrasound_of_the_Week_1.webm
Cardiomyopathy,Cardiology,Shortness of breathFeeling tiredSwelling of the legs,,,UnknownGeneticAlcoholHeavy metalsAmyloidosisStress,,,,Depends on type and symptoms,,2.5 million with myocarditis (2015),,https://upload.wikimedia.org/wikipedia/commons/0/01/HCM%EF%BC%BFHE.jpg
Carotid artery disease,Vascular surgery,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/c0/Ao_Carotide_Nle.JPG
Carpal tunnel syndrome,"Orthopedic surgery, plastic surgery","Pain, numbness, tingling in the thumb, index, middle finger, and half of ring finger, weak grip",,,Compression of the median nerve at the carpal tunnel,"Genetics, obesity, repetitive wrist work, rheumatoid arthritis","Based on symptoms, specific physical tests, electrodiagnostic tests",Physical activity,"Wrist splint, corticosteroid injections, surgery",,5â€“10%,,https://upload.wikimedia.org/wikipedia/commons/f/f0/Carpal-Tunnel.svg
Cataracts,Ophthalmology,"Faded colors, blurry vision, halos around light, trouble with bright lights, trouble seeing at night",Gradual,,"Aging, trauma, radiation exposure, following eye surgery, genetic","Diabetes, smoking tobacco, prolonged exposure to sunlight, alcohol",Eye examination,"Sunglasses, proper diet, not smoking","Glasses, cataract surgery",,60 million (2015),,https://upload.wikimedia.org/wikipedia/commons/3/3b/Africa_Partnerships_Vision_2020_2_%2810665602364%29.jpg
Cavernous malformations,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/31/Cavernous_liver_hemangioma_-_intermed_mag.jpg
Cellulite,Plastic surgery,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/d4/Cellulitis1.jpg
