Name,link,Symptoms,Overview,Causes,Risk factors,Diagnosis,Treatment,Remedies,Medication,info-Specialty,info-Symptoms,info-Usual onset,info-Duration,info-Causes,info-Risk factors,info-Diagnostic method,info-Prevention,info-Treatment,info-Prognosis,info-Frequency,info-Medication,ImageURL
Alcohol intolerance,https://www.mayoclinic.org/diseases-conditions/alcohol-intolerance/symptoms-causes/syc-20369211,,"Alcohol intolerance can cause immediate, uncomfortable reactions after one drink alcohol. Although not a true allergy, in some cases, what seems to be alcohol intolerance might be the reaction to something in an alcoholic beverage such as chemicals, grains or preservatives.",,,,"The only way to avoid alcohol intolerance symptoms or an allergic reaction is to avoid alcohol or the particular beverage or ingredients that cause the problem. For a minor reaction, over-the-counter or prescription antihistamines might help reduce symptoms, such as itching or hives. Although alcohol intolerance usually isn't a serious issue as long as one don't drink alcohol, one might want to discuss it with the doctor at the next appointment. Make a list of: For alcohol intolerance, some questions to ask the doctor include Don't hesitate to ask other questions one has. The symptoms, Key personal information, All medications, vitamins or supplements Questions to ask",,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/0b/Chromosome.svg
Alcohol use disorder,https://www.mayoclinic.org/diseases-conditions/alcohol-use-disorder/symptoms-causes/syc-20369243,"Alcohol use disorder can be mild, moderate or severe, based on the number of symptoms one experience. If one is concerned about someone who drinks too much, ask a professional experienced in alcohol treatment for advice on how to approach that person.","Alcohol use disorder (which includes a level that's sometimes called alcoholism) is a pattern of alcohol use that involves problems controlling the drinking, being preoccupied with alcohol, continuing to use alcohol even when it causes problems, having to drink more to get the same effect, or having withdrawal symptoms when one rapidly decrease or stop drinking. If the pattern of drinking results in repeated significant distress and problems functioning in the daily life, one likely have alcohol use disorder.",,"Alcohol use may begin in the teens, but alcohol use disorder occurs more frequently in the 20s and 30s, though it can start at any age. Drinking too much on a regular basis for an extended period or binge drinking on a regular basis can lead to alcohol-related problems or alcohol use disorder. People who begin drinking especially binge drinking at an early age are at a higher risk of alcohol use disorder. The risk of alcohol use disorder is higher for people who have a parent or other close relative who has problems with alcohol. It's common for people with a mental health disorder such as anxiety, depression, schizophrenia or bipolar disorder to have problems with alcohol or other substances. People with a history of emotional or other trauma are at increased risk of alcohol use disorder. Some research studies indicate that having bariatric surgery may increase the risk of developing alcohol use disorder or of relapsing after recovering from alcohol use disorder. Having friends or a close partner who drinks regularly could increase the risk of alcohol use disorder.","If the doctor suspects one has a problem with alcohol, he or she may refer one to a mental health professional. To assess the problem with alcohol, the doctor will likely: Ask one several questions related to the drinking habits. While there are no specific tests to diagnose alcohol use disorder, certain patterns of lab test abnormalities may strongly suggest it. The Diagnostic and Statistical Manual of Mental Disorders, Fifth Edition (DSM-5), published by the American Psychiatric Association, is often used by mental health professionals to diagnose mental health conditions.","Treatment for alcohol use disorder can vary, depending on the needs. Treatment for alcohol use disorder may include Detox and withdrawal. It may include goal setting, behavior change techniques, use of self-help manuals, counseling and follow-up care at a treatment center. A drug called disulfiram (Antabuse) may help prevent one from drinking, although it won't cure alcohol use disorder or remove the compulsion to drink. If one drink alcohol, the drug produces a physical reaction that may include flushing, nausea, vomiting and headaches. Naltrexone, a drug that blocks the good feelings alcohol causes, may prevent heavy drinking and reduce the urge to drink. Although similar medication can be taken in pill form, the injectable version of the drug may be easier for people recovering from alcohol use disorder to use consistently. Aftercare programs and support groups help people recovering from alcohol use disorder to stop drinking, manage relapses and cope with necessary lifestyle changes. If one has depression, anxiety or another mental health condition, one may need talk therapy (psychotherapy), medications or other treatment.","As part of the recovery, one will need to focus on changing the habits and making different lifestyle choices. For example, good sleep, regular physical activity, managing stress more effectively and eating well all can make it easier for one to recover from alcohol use disorder.",,"Psychiatry, clinical psychology, toxicology, addiction medicine","Drinking large amounts of alcohol over a long period, difficulty cutting down, acquiring and drinking alcohol taking up a lot of time, usage resulting in problems, withdrawal occurring when stopping",,Long term,Environmental and genetic factors,"Stress, anxiety, inexpensive, easy access","Questionnaires, blood tests",,"Alcohol cessation typically with benzodiazepines, counselling, acamprosate, disulfiram, naltrexone",,380 million / 5.1% adults (2016),,https://upload.wikimedia.org/wikipedia/commons/4/49/1904_Claim_of_Alcoholism_Being_Disease4.jpg
Alcoholic hepatitis,https://www.mayoclinic.org/diseases-conditions/alcoholic-hepatitis/symptoms-causes/syc-20351388,,,Alcoholic hepatitis develops when the alcohol one drink damages the liver. Just how alcohol damages the liver and why it does so only in some heavy drinkers isn't clear.,"However, alcoholic hepatitis can occur among those who drink less and have other risk factors. Women seem to have a higher risk of developing alcoholic hepatitis possibly because of differences in the way alcohol is processed in women. Having five or more drinks within two hours for men and four or more for women might increase the risk of alcoholic hepatitis.",,,,"If one has severe alcoholic hepatitis, the doctor might recommend: For many people with severe alcoholic hepatitis, the risk of death is high without a liver transplant. Recent studies, however, suggest that carefully selected patients with severe alcoholic hepatitis have post-transplant survival rates similar to those of liver transplant recipients with other types of liver disease. To find a program that works with liver transplant patients who have alcoholic hepatitis To meet the requirements of the program, which would include lifelong commitment to alcohol abstinence as well as other requirements of the specific transplant center Corticosteroids.",Gastroenterology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/d6/Alcohol_related_liver_disease.webm
Allergies,https://www.mayoclinic.org/diseases-conditions/allergies/symptoms-causes/syc-20351497,,,,,"Ask detailed questions about signs and symptoms Perform a physical exam Have one keep a detailed diary of symptoms and possible triggers Ask one to keep a detailed diary of the foods one eat Ask if one has stopped eating the suspected food during the allergy evaluation Skin test. Specific IgE (sIgE) blood testing, commonly called radioallergosorbent test (RAST) or ImmunoCAP testing, measures the amount of allergy-causing antibodies in the bloodstream, known as immunoglobulin E (IgE) antibodies.","For severe allergies or allergies not completely relieved by other treatment, the doctor might recommend allergen immunotherapy. Depending on the allergy, medications can help reduce the immune system reaction and ease symptoms. If one has a severe allergy, one might need to carry an emergency epinephrine shot at all times. Given for severe allergic reactions, an epinephrine shot (Auvi-Q, EpiPen, others) can reduce symptoms until one get emergency treatment.",,,Immunology,"Red eyes, itchy rash, runny nose, shortness of breath, swelling, sneezing",,,Genetic and environmental factors,,"Based on symptoms, skin prick test, blood test",Early exposure to potential allergens,"Avoiding known allergens, medications, allergen immunotherapy",,Common,"Steroids, antihistamines, epinephrine, mast cell stabilizers, antileukotrienes",https://upload.wikimedia.org/wikipedia/commons/3/36/Allergy_degranulation_processes_01.svg
Alpha-gal syndrome,https://www.mayoclinic.org/diseases-conditions/alpha-gal-syndrome/symptoms-causes/syc-20428608,,"Alpha-gal syndrome is a recently identified type of food allergy to red meat and other products made from mammals. The Lone Star tick is found predominantly in the southeastern United States, and most cases of alpha-gal syndrome occur in this region. The condition appears to be spreading farther north and west, however, as deer carry the Lone Star tick to new parts of the United States.",,,,"As with any food allergy, alpha-gal syndrome treatment involves avoiding the foods that cause the reaction. Always check the ingredient labels on store-bought foods to make sure they don't contain red meat or meat-based ingredients, such as beef, pork, lamb, organ meats or gelatins. Check soup stock cubes, gravy packages and flavor ingredients in prepackaged products. Ask the doctor or allergist for a list of foods to avoid, including meat extracts used in flavoring. Many people don't understand the seriousness of an allergic food reaction, and few realize meat allergies even exist. If one is at all worried that a food may contain something one is allergic to, don't try it. For example, if one is attending a party where guests prepare food on a shared cooking surface, bring the own precooked food. For a severe allergic reaction, one may need an emergency injection of epinephrine and a visit to the emergency room. Many people with allergies carry an epinephrine autoinjector (EpiPen, Auvi-Q, others). Once one has been diagnosed with alpha-gal syndrome, the doctor or allergist likely will prescribe an epinephrine autoinjector. Symptoms of alpha-gal syndrome may lessen or even disappear over time if one don't get any more bites from ticks that carry alpha-gal. To get the most from the appointment, it's a good idea to be well prepared. Be ready to tell the doctor what happened after one ate red meat, including how long it took for a reaction to occur. The doctor will need to know where one has spent time outdoors and how often, as well as how many tick bites one is aware of having experienced.",,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e1/Bush_Ticks_found_on_a_Spotted-tailed_quoll_%283%29.jpg
Ambiguous genitalia,https://www.mayoclinic.org/diseases-conditions/ambiguous-genitalia/symptoms-causes/syc-20369273,,,"Whether this tissue becomes male organs or female organs depends on the chromosomes and the presence or absence of male hormones. In males, a region on the Y chromosome triggers the development of testicles, which produce male hormones. In a fetus without a Y chromosome without the effects of male hormones the genitals develop as female. Certain forms of this genetic condition cause the adrenal glands to make excess male hormones (androgens). Certain drugs that contain male hormones or that stimulate production of male hormones in a pregnant woman can cause developing female genitals to become more masculine. A developing baby also may be exposed to excess male hormones if the mother has a disease or condition that causes hormone imbalance. In this condition, developing genital tissues don't respond normally to male hormones made by the testes.","Family history may play a role in the development of ambiguous genitalia, because many disorders of sex development result from genetic abnormalities that can be inherited. Unexplained deaths in early infancy Infertility, absent menstrual periods or excess facial hair in females Genital abnormalities Abnormal physical development during puberty Congenital adrenal hyperplasia, a group of inherited genetic disorders that affect the adrenal glands","The medical team will likely recommend these tests: In certain cases, minimally invasive surgery may be necessary to collect a tissue sample of the newborn's reproductive organs. Blood tests to measure hormone levels Blood tests to analyze chromosomes and determine the genetic sex (XX or XY) or tests for single gene disorders Ultrasound of the pelvis and abdomen to check for undescended testes, uterus or vagina X-ray studies using a contrast dye to help clarify anatomy Abdominal ultrasound Genetic testing Ultrasound X-ray",,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/53/Ambox_current_red_Americas.svg
Ameloblastoma,https://www.mayoclinic.org/diseases-conditions/ameloblastoma/symptoms-causes/syc-20351278,,,,,,"Ameloblastoma treatment may include After treatment, one will likely have regular follow-up appointments for several years. Ameloblastoma treatment usually includes surgery to remove the tumor. Ameloblastoma often grows into the nearby jawbone, so surgeons may need to remove the affected part of the jawbone. If surgery involves removing part of the jawbone, surgeons can repair and reconstruct the jaw. A variety of specialists can help one work through speaking, swallowing and eating problems during and after treatment.",,,"Oncology, oral and maxillofacial surgery",,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/c3/Ameloblastoma.jpg
Amenorrhea,https://www.mayoclinic.org/diseases-conditions/amenorrhea/symptoms-causes/syc-20369299,,"Amenorrhea (uh-men-o-REE-uh) is the absence of menstruation one or more missed menstrual periods. Women who have missed at least three menstrual periods in a row have amenorrhea, as do girls who haven't begun menstruation by age 15.","The ovaries, fallopian tubes, uterus, cervix and vagina (vaginal canal) make up the female reproductive system. Even after stopping oral contraceptives, it may take some time before regular ovulation and menstruation return. It often happens about midway through the menstrual cycle, although the exact timing may vary. Here in the fallopian tube, the egg may be fertilized by a sperm. If the egg isn't fertilized, it's simply reabsorbed by the body perhaps before it even reaches the uterus. Excessively low body weight about 10 percent under normal weight interrupts many hormonal functions in the body, potentially halting ovulation. Women who participate in activities that require rigorous training, such as ballet, may find their menstrual cycles interrupted. Several factors combine to contribute to the loss of periods in athletes, including low body fat, stress and high energy expenditure. PCOS causes relatively high and sustained levels of hormones, rather than the fluctuating levels seen in the normal menstrual cycle. An overactive thyroid gland (hyperthyroidism) or underactive thyroid gland (hypothyroidism) can cause menstrual irregularities, including amenorrhea. But, for some women, the ovarian supply of eggs diminishes before age 40, and menstruation stops. Because her reproductive system didn't develop normally, she can't have menstrual cycles.",,"If one has never had a period, the doctor may examine the breasts and genitals to see if one is experiencing the normal changes of puberty. A variety of blood tests may be necessary, including For this test, one take a hormonal medication for seven to 10 days to trigger menstrual bleeding. Depending on the signs and symptoms and the result of any blood tests one has had the doctor might recommend one or more imaging tests, including If other testing reveals no specific cause, the doctor may recommend a hysteroscopy a test in which a thin, lighted camera is passed through the vagina and cervix to look at the inside of the uterus. If one is experiencing increased facial hair and a lowered voice, the doctor may want to check the level of male hormones in the blood. If one has never had a period, the doctor may suggest an ultrasound test to check for any abnormalities in the reproductive organs.",,,,Gynecology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/65/Lock-green.svg
Amnestic syndrome,https://www.mayoclinic.org/diseases-conditions/amnesia/symptoms-causes/syc-20353360,,,"Amnesia can result from damage to brain structures that form the limbic system, which controls the emotions and memories. Mild head injuries typically do not cause lasting amnesia, but more-severe head injuries may cause permanent amnesia. Another rare type of amnesia, called dissociative (psychogenic) amnesia, stems from emotional shock or trauma, such as being the victim of a violent crime.",,,,,,,,,,,,,,,,,,
Amniotic fluid embolism,https://www.mayoclinic.org/diseases-conditions/amniotic-fluid-embolism/symptoms-causes/syc-20369324,,,,"Because amniotic fluid embolisms are rare, it's difficult to identify risk factors. Research suggests that several factors might be linked to an increased risk of amniotic fluid embolism, however, including Advanced maternal age. If one is 35 or older at the time of the child's birth, one might be at increased risk of amniotic fluid embolism. Abnormalities in the placenta the structure that develops in the uterus during pregnancy might increase the risk of amniotic fluid embolism. Limited research suggests that certain labor induction methods are associated with an increased risk of amniotic fluid embolism. Having a C-section, a forceps delivery or a vacuum extraction might increase the risk of amniotic fluid embolism. It's not clear, however, whether operative deliveries are true risk factors for amniotic fluid embolism because they're used after the condition develops to ensure a rapid delivery.",,"Emergency treatments might include If one has amniotic fluid embolism before delivering the baby, the doctor will treat one with the goal of safely delivering the baby as soon as possible. A thin, hollow tube placed into one of the arteries (arterial catheter) might be used to monitor the blood pressure. One might also have another tube placed into a vein in the chest (central venous catheter), which can be used to give fluids, medications or transfusions, as well as draw blood.",,,Obstetrics,,,,,Unpredictable,,,,,"1 in 20,000 births",,https://upload.wikimedia.org/wikipedia/commons/6/65/Amniotic_fluid_embolism.jpg
